Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,15/3/2017,96.900002,95.800003,97.400002,95,82.92054,5239578,,0.007800312,,,,,,,95.66666733,74.71906237,0.75,0,0.475000714,0.160714857,95.71519899,94.68326225,1.031936736,1.003154401
1.HK,16/3/2017,96.900002,97.349998,97.699997,96.449997,82.92054,6145816,,0,,,,,,,95.9600008,67.39127347,0,0,0.332143571,0.160714857,95.89747637,94.84746519,1.050011179,1.012525757
1.HK,17/3/2017,97.099998,97.199997,97.400002,96.75,83.091675,5444977,,0.002063942,,,,,,,96.133334,57.54710698,0.199996,0,0.217857357,0.160714857,96.0824797,95.01431948,1.068160224,1.02365265
1.HK,20/3/2017,97,97.199997,97.400002,96.75,83.006111,5021538,,-0.001029846,,,,,,,96.18000047,60.9999624,0,0.099998,0.217857357,0.139286071,96.22363667,95.16140692,1.062229747,1.03136807
1.HK,21/3/2017,96.949997,97,97.25,96.550003,82.963326,6646876,,-0.000515495,,,,,,,96.25000013,56.98916777,0,0.050003,0.189285857,0.142857714,96.33538441,95.29389508,1.041489336,1.033392323
1.HK,22/3/2017,96.449997,97.5,97.5,96.400002,82.535446,6896893,,-0.005157298,,,,,,,96.25999973,52.47524556,0,0.5,0.189285857,0.171428714,96.35301712,95.37953226,0.973484862,1.021410831
1.HK,23/3/2017,97.800003,96.449997,97.949997,96.449997,83.690697,12657442,,0.013996952,,,,,,,96.3666668,72.07207337,1.350006,0,0.285714857,0.1107145,96.57563033,95.55882639,1.016803946,1.020489454
1.HK,24/3/2017,97.800003,97.849998,97.849998,96.800003,83.690697,5507491,,0,,,,,,,96.53000047,71.5596406,0,0,0.278572071,0.1107145,96.76399536,95.72483947,1.039155889,1.024222741
1.HK,27/3/2017,96.849998,96.300003,97.5,96.300003,82.877747,6914858,,-0.009713752,,,,,,,96.62333387,57.26492278,0,0.950005,0.239286143,0.178572,96.77722653,95.80818454,0.969041988,1.01318659
1.HK,28/3/2017,96.900002,97.5,97.5,96.800003,82.92054,4428997,,0.000516304,,,,,,,96.683334,54.54544132,0.050004,0,0.214286286,0.178572,96.79611507,95.88905991,0.907055155,0.991960303
1.HK,29/3/2017,96.349998,97,97.199997,95.949997,82.449875,5317403,,-0.005675996,,,,,,,96.6800004,58.25237892,0,0.550004,0.214286286,0.153572143,96.72748167,95.92320347,0.804278198,0.954423882
1.HK,30/3/2017,96.75,96.349998,97,96.150002,82.792183,5609279,,0.004151552,,,,,,,96.76333373,60.18513272,0.400002,0,0.232143429,0.153572143,96.73094603,95.98444766,0.746498369,0.91283878
1.HK,31/3/2017,95.599998,97,97,95.599998,81.80809,5807315,,-0.011886326,,,,,,,96.76000013,47.61902343,0,1.150002,0.214286286,0.235715143,96.55695403,95.95596991,0.600984117,0.850467847
1.HK,3/4/2017,95.449997,95.550003,96,94.699997,81.679726,5334066,,-0.001569048,,,,,,,96.7299998,44.35481751,0,0.150001,0.196429143,0.2464295,96.38665294,95.91849043,0.468162511,0.77400678
1.HK,5/4/2017,95.449997,96,96,95.150002,81.679726,6318973,,0,,,,,,,96.6833328,36.69725309,0,0,0.142857714,0.2464295,96.24255203,95.88378722,0.358764814,0.690958387
1.HK,6/4/2017,95.699997,95.5,95.949997,95.199997,81.893654,5255156,,0.002619172,,,,,,,96.60333247,39.47367913,0.25,0,0.160714857,0.2464295,96.15908203,95.87017313,0.288908899,0.610548489
1.HK,7/4/2017,95.449997,95.900002,95.900002,94.400002,81.679726,4583070,,-0.00261233,,,,,,,96.50666547,35.6522276,0,0.25,0.146429429,0.264286643,96.04999202,95.83904897,0.210943053,0.530627402
1.HK,10/4/2017,95.699997,96.400002,96.400002,95.449997,81.893654,1527068,,0.002619172,,,,,,,96.41333207,38.98307584,0.25,0,0.164286571,0.257143929,95.99614663,95.82874882,0.167397811,0.457981484
1.HK,11/4/2017,95.550003,96.25,96.349998,95.199997,81.765305,3825721,,-0.001567335,,,,,,,96.3166656,38.33341833,0,0.149994,0.164286571,0.264286143,95.92750915,95.80810098,0.119408167,0.39026682
1.HK,12/4/2017,95.5,95,95.550003,94.650002,81.722519,3993502,,-0.000523318,,,,,,,96.21999913,41.44150085,0,0.050003,0.164286571,0.2321435,95.86173851,95.78527869,0.076459824,0.327505421
1.HK,13/4/2017,94.800003,95,95,94.349998,81.123497,4668447,,-0.007329812,,,,,,,96.10999953,19.38783007,0,0.699997,0.067857571,0.282143286,95.69839459,95.7122953,-0.013900717,0.259224193
1.HK,18/4/2017,94.099998,95.5,95.5,93.5,80.524483,6126166,,-0.007384019,,,,,,,95.86333253,16.96434136,0,0.700005,0.067857571,0.332143643,95.45248742,95.59286587,-0.140378454,0.179303664
1.HK,19/4/2017,93.699997,94.599998,94.900002,93.599998,80.182198,6939354,,-0.004250808,,,,,,,95.5899988,18.81195157,0,0.400001,0.067857571,0.292857643,95.18287351,95.45265337,-0.269779856,0.08948696
1.HK,20/4/2017,93.900002,93.199997,94.099998,93.050003,80.35334,5196363,,0.002134525,,,,,,,95.3933324,21.15392382,0.200005,0,0.078571929,0.292857643,94.98550866,95.33764215,-0.352133491,0.00116287
1.HK,21/4/2017,93.150002,93.599998,94.099998,93.099998,79.711533,4560757,,-0.00798722,,,,,,,95.1433324,20.37046228,0,0.75,0.078571929,0.307143071,94.70312302,95.17559473,-0.472471713,-0.093564047
1.HK,24/4/2017,95.050003,94.400002,95.400002,94.099998,81.33744,7994483,,0.020397219,,,,,,,95.05666607,37.68119723,1.900001,0,0.185714714,0.307143071,94.75648917,95.16629164,-0.409802471,-0.156811732
1.HK,25/4/2017,96.849998,95.300003,97.199997,95.300003,82.877747,7190803,,0.018937348,,,,,,,95.0633326,58.2781435,1.799995,0,0.314285786,0.225000071,95.07856745,95.29101063,-0.212443179,-0.167938021
1.HK,26/4/2017,96.900002,97.400002,97.599998,96.650002,82.92054,5066719,,0.000516304,,,,,,,95.14999953,59.73157065,0.050004,0,0.3178575,0.214285714,95.35878815,95.41019518,-0.051407025,-0.144631822
1.HK,27/4/2017,97,96.949997,97.150002,95.849998,83.006111,3795750,,0.001031971,,,,,,,95.25333307,60.26491645,0.099998,0,0.325000214,0.214285714,95.61128228,95.5279585,0.083323785,-0.099040701
1.HK,28/4/2017,97.150002,97.199997,97.199997,96.550003,83.13446,3860932,,0.001546412,,,,,,,95.36666673,59.73157065,0.150002,0,0.3178575,0.214285714,95.84800839,95.64810987,0.199898525,-0.039252855
